;Aporte;AportePred;AporteMediaMovilQ;AporteMediaMovilS;AporteMediaMovilA;AportePredMediaMovilQ;AportePredMediaMovilS;AportePredMediaMovilA;Empresa
2025-10-01;;58926361429;;;;163560392349.0;158342060518.0;146054292321.0;Emp1
2025-11-01;;363839986603;;;;190751636608.0;197989742528.0;158589835202.0;Emp1
2025-12-01;;150624198423;;;;191130182152.0;195850044513.0;157305221945.0;Emp1
2026-01-01;;125959424759;;;;213474536595.0;188517464472.0;156190374566.0;Emp1
2026-02-01;;110821259061;;;;129134960748.0;159943298678.0;157690779229.0;Emp1
2026-03-01;;112871577132;;;;116550753651.0;153840467901.0;160169940034.0;Emp1
2026-04-01;;153496918215;;;;125729918136.0;169602227366.0;163972143942.0;Emp1
2026-05-01;;135314191438;;;;133894228928.0;131514594838.0;164752168683.0;Emp1
2026-06-01;;235221984187;;;;174677697947.0;145614225799.0;170732135156.0;Emp1
2026-07-01;;153029099752;;;;174521758459.0;150125838298.0;169321651385.0;Emp1
2026-08-01;;223516510245;;;;203922531395.0;168908380162.0;164425839420.0;Emp1
2026-09-01;;212159897608;;;;196235169202.0;185456433574.0;169648450738.0;Emp1
2026-10-01;;74902603366;;;;170193003740.0;172357381099.0;170979804232.0;Emp1
2026-11-01;;284899195051;;;;190653898675.0;197288215035.0;164401404936.0;Emp1
2026-12-01;;193380493085;;;;184394097167.0;190314633184.0;167964429492.0;Emp1
2027-01-01;;167220800521;;;;215166829552.0;192679916646.0;171402877472.0;Emp1
2027-02-01;;129053332541;;;;163218208716.0;176936053695.0;172922216928.0;Emp1
2027-03-01;;122484951273;;;;139586361445.0;161990229306.0;173723331440.0;Emp1
2027-04-01;;151459881976;;;;134332721930.0;174749775741.0;173553578420.0;Emp1
2027-05-01;;159889763256;;;;144611532168.0;153914870442.0;175601542738.0;Emp1
2027-06-01;;214008076425;;;;175119240552.0;157352800999.0;173833717092.0;Emp1
2027-07-01;;196893780942;;;;190263873541.0;162298297736.0;177489107191.0;Emp1
2027-08-01;;298072182293;;;;236324679887.0;190468106028.0;183702079861.0;Emp1
2027-09-01;;197615083500;;;;230860348912.0;202989794732.0;182490012019.0;Emp1
2027-10-01;;94623302185;;;;196770189326.0;193517031434.0;184133403587.0;Emp1
2027-11-01;;374271340477;;;;222169908721.0;229247294304.0;191581082373.0;Emp1
2027-12-01;;193449614691;;;;220781419118.0;225820884015.0;191586842507.0;Emp1
2028-01-01;;168386914523;;;;245369289897.0;221069739612.0;191684018674.0;Emp1
2028-02-01;;147118670626;;;;169651733280.0;195910821000.0;193189463514.0;Emp1
2028-03-01;;146874811467;;;;154126798872.0;187454108995.0;195221951863.0;Emp1
2028-04-01;;184398976240;;;;159464152778.0;202416721337.0;197966876385.0;Emp1
2028-05-01;;173300153546;;;;168191313751.0;168921523516.0;199084408910.0;Emp1
2028-06-01;;261019427205;;;;206239518997.0;180183158934.0;203002021475.0;Emp1
2028-07-01;;196149553013;;;;210156377921.0;184810265350.0;202940002480.0;Emp1
2028-08-01;;274806476053;;;;243991818757.0;206091566254.0;201001193627.0;Emp1
2028-09-01;;239732560088;;;;236896196385.0;221567857691.0;204510983343.0;Emp1
2018-08-01;97425812586.0;0;;;;;;;Emp2
2018-09-01;32266029769.0;41907611322;;;;;;;Emp2
2018-10-01;85048009240.0;56557597143;71579950532.0;;;32821736155.0;;;Emp2
2018-11-01;1433346234.0;33180615248;39582461748.0;;;43881941238.0;;;Emp2
